"Approach","Train Time","Duration","Num Steps","Num Nodes","Successes"
"astar_uniform","1.1920928955078125e-06","0.11820785999298096","14.9","291.7","1.0"
"lrtdp","7.152557373046875e-07","1.3343702793121337","14.9","3116.2","1.0"
"rtdp","2.1457672119140625e-06","8.922005200386048","91.1","2902.8","0.1"
"uct1","1.9073486328125e-06","0.4732784032821655","84.9","30.0","0.2"
"uct2","1.9073486328125e-06","0.48308138847351073","89.0","32.7","0.2"
"uct3","9.5367431640625e-07","0.4684105634689331","82.9","27.1","0.3"
"uct4","1.1920928955078125e-06","0.29198274612426756","79.7","37.2","0.3"
"uct5","7.152557373046875e-07","0.21439745426177978","85.4","51.8","0.2"
"uct6","1.9073486328125e-06","0.17918736934661866","85.5","104.3","0.2"

